n features,dimensions,c,iterations
100,2,0.2,11
100,2,0.2,6
100,2,0.2,13
100,2,0.2,117
100,2,0.2,3
100,2,0.2,97
100,2,0.2,35
100,2,0.2,6
100,2,0.2,313
100,2,0.2,2
100,2,0.2,17
100,2,0.2,2
100,2,0.2,13
100,2,0.2,50
100,2,0.2,18
100,2,0.2,8
100,2,0.2,2
100,2,0.2,11
100,2,0.2,11
100,2,0.2,11
100,2,0.2,6
100,2,0.2,50
100,2,0.2,374
100,2,0.2,26
100,2,0.2,16
100,2,0.2,25
100,2,0.2,2
100,2,0.2,443
100,2,0.2,1165
100,2,0.2,7
100,2,0.2,167
100,2,0.2,17
100,2,0.2,4
100,2,0.2,1217
100,2,0.2,145
100,2,0.2,59
100,2,0.2,18
100,2,0.2,7
100,2,0.2,10
100,2,0.2,30
100,2,0.2,26
100,2,0.2,69
100,2,0.2,33
100,2,0.2,376
100,2,0.2,10
100,2,0.2,45
100,2,0.2,29
100,2,0.2,90
100,2,0.2,2109
100,2,0.2,3
100,2,0.2,4
100,2,0.2,68
100,2,0.2,61
100,2,0.2,168
100,2,0.2,2
100,2,0.2,12
100,2,0.2,23
100,2,0.2,2506
100,2,0.2,17
100,2,0.2,9
100,2,0.2,2
100,2,0.2,17
100,2,0.2,4
100,2,0.2,5
100,2,0.2,72
100,2,0.2,65
100,2,0.2,4
100,2,0.2,37
100,2,0.2,26
100,2,0.2,37
100,2,0.2,18
100,2,0.2,3
100,2,0.2,7
100,2,0.2,16
100,2,0.2,24
100,2,0.2,242
100,2,0.2,602
100,2,0.2,3
100,2,0.2,2
100,2,0.2,57
100,2,0.2,225
100,2,0.2,107
100,2,0.2,7
100,2,0.2,6
100,2,0.2,336
100,2,0.2,141
100,2,0.2,65
100,2,0.2,25
100,2,0.2,2
100,2,0.2,2
100,2,0.2,9
100,2,0.2,30
100,2,0.2,27
100,2,0.2,716
100,2,0.2,16
100,2,0.2,117
100,2,0.2,4002
100,2,0.2,70
100,2,0.2,1447
100,2,0.2,6
100,2,0.2,12
100,2,0.2,285
100,2,0.2,60
100,2,0.2,18
100,2,0.2,4
100,2,0.2,86
100,2,0.2,52
100,2,0.2,28
100,2,0.2,9
100,2,0.2,92
100,2,0.2,48
100,2,0.2,19
100,2,0.2,476
100,2,0.2,1323
100,2,0.2,71
100,2,0.2,15
100,2,0.2,153
100,2,0.2,30
100,2,0.2,209
100,2,0.2,5
100,2,0.2,3
100,2,0.2,624
100,2,0.2,35
100,2,0.2,187
100,2,0.2,87
100,2,0.2,45
100,2,0.2,41
100,2,0.2,73
100,2,0.2,288
100,2,0.2,21
100,2,0.2,332
100,2,0.2,99
100,2,0.2,5509
100,2,0.2,649
100,2,0.2,69
100,2,0.2,116
100,2,0.2,26
100,2,0.2,288
100,2,0.2,10
100,2,0.2,23
100,2,0.2,41
100,2,0.2,13
100,2,0.2,201
100,2,0.2,25
100,2,0.2,45
100,2,0.2,20
100,2,0.2,15
100,2,0.2,117
100,2,0.2,60
100,2,0.2,2
100,2,0.2,33
100,2,0.2,160
100,2,0.2,442
100,2,0.2,3
100,2,0.2,91
100,2,0.2,5
100,2,0.2,94
100,2,0.2,12
100,2,0.2,113
100,2,0.2,57
100,2,0.2,4
100,2,0.2,14
100,2,0.2,401
100,2,0.2,9
100,2,0.2,47
100,2,0.2,78
100,2,0.2,32
100,2,0.2,64
100,2,0.2,40
100,2,0.2,16
100,2,0.2,2
100,2,0.2,78
100,2,0.2,3
100,2,0.2,8
100,2,0.2,2936
